Tinggi Badan (cm),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
105.5,,13.3,,,14.4,,,15.6,,,17.0,,,18.5,,,20.3,,,22.2,
106.0,,13.4,,,14.5,,,15.8,,,17.2,,,18.7,,,20.5,,,22.5,
106.5,,13.5,,,14.7,,,15.9,,,17.3,,,18.9,,,20.7,,,22.7,
107.0,,13.7,,,14.8,,,16.1,,,17.5,,,19.1,,,20.9,,,22.9,
107.5,,13.8,,,14.9,,,16.2,,,17.7,,,19.3,,,21.1,,,23.2,
108.0,,13.9,,,15.1,,,16.4,,,17.8,,,19.5,,,21.3,,,23.4,
108.5,,14.0,,,15.2,,,16.5,,,18.0,,,19.7,,,21.5,,,23.7,
109.0,,14.1,,,15.3,,,16.7,,,18.2,,,19.8,,,21.8,,,23.9,
109.5,,14.3,,,15.5,,,16.8,,,18.3,,,20.0,,,22.0,,,24.2,
110.0,,14.4,,,15.6,,,17.0,,,18.5,,,20.2,,,22.2,,,24.4,
110.5,,14.5,,,15.8,,,17.1,,,18.7,,,20.4,,,22.4,,,24.7,
111.0,,14.6,,,15.9,,,17.3,,,18.9,,,20.7,,,22.7,,,25.0,
111.5,,14.8,,,16.0,,,17.5,,,19.1,,,20.9,,,22.9,,,25.2,
112.0,,14.9,,,16.2,,,17.6,,,19.2,,,21.1,,,23.1,,,25.5,
112.5,,15.0,,,16.3,,,17.8,,,19.4,,,21.3,,,23.4,,,25.8,
113.0,,15.2,,,16.5,,,18.0,,,19.6,,,21.5,,,23.6,,,26.0,
113.5,,15.3,,,16.6,,,18.1,,,19.8,,,21.7,,,23.9,,,26.3,
114.0,,15.4,,,16.8,,,18.3,,,20.0,,,21.9,,,24.1,,,26.6,
114.5,,15.6,,,16.9,,,18.5,,,20.2,,,22.1,,,24.4,,,26.9,
115.0,,15.7,,,17.1,,,18.6,,,20.4,,,22.4,,,24.6,,,27.2,
115.5,,15.8,,,17.2,,,18.8,,,20.6,,,22.6,,,24.9,,,27.5,
116.0,,16.0,,,17.4,,,19.0,,,20.8,,,22.8,,,25.1,,,27.8,
116.5,,16.1,,,17.5,,,19.2,,,21.0,,,23.0,,,25.4,,,28.0,
117.0,,16.2,,,17.7,,,19.3,,,21.2,,,23.3,,,25.6,,,28.3,
117.5,,16.4,,,17.9,,,19.5,,,21.4,,,23.5,,,25.9,,,28.6,
118.0,,16.5,,,18.0,,,19.7,,,21.6,,,23.7,,,26.1,,,28.9,
118.5,,16.7,,,18.2,,,19.9,,,21.8,,,23.9,,,26.4,,,29.2,
119.0,,16.8,,,18.3,,,20.0,,,22.0,,,24.1,,,26.6,,,29.5,
119.5,,16.9,,,18.5,,,20.2,,,22.2,,,24.4,,,26.9,,,29.8,
120.0,,17.1,,,18.6,,,20.4,,,22.4,,,24.6,,,27.2,,,30.1,
