Panjang Badan (cm),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
55.0,,3.6,,,3.8,,,4.2,,,4.5,,,5.0,,,5.4,,,6.0,
55.5,,3.7,,,4.0,,,4.3,,,4.7,,,5.1,,,5.6,,,6.1,
56.0,,3.8,,,4.1,,,4.4,,,4.8,,,5.3,,,5.8,,,6.3,
56.5,,3.9,,,4.2,,,4.6,,,5.0,,,5.4,,,5.9,,,6.5,
57.0,,4.0,,,4.3,,,4.7,,,5.1,,,5.6,,,6.1,,,6.7,
57.5,,4.1,,,4.5,,,4.9,,,5.3,,,5.7,,,6.3,,,6.9,
58.0,,4.3,,,4.6,,,5.0,,,5.4,,,5.9,,,6.4,,,7.1,
58.5,,4.4,,,4.7,,,5.1,,,5.6,,,6.1,,,6.6,,,7.2,
59.0,,4.5,,,4.8,,,5.3,,,5.7,,,6.2,,,6.8,,,7.4,
59.5,,4.6,,,5.0,,,5.4,,,5.9,,,6.4,,,7.0,,,7.6,
60.0,,4.7,,,5.1,,,5.5,,,6.0,,,6.5,,,7.1,,,7.8,
60.5,,4.8,,,5.2,,,5.6,,,6.1,,,6.7,,,7.3,,,8.0,
61.0,,4.9,,,5.3,,,5.8,,,6.3,,,6.8,,,7.4,,,8.1,
61.5,,5.0,,,5.4,,,5.9,,,6.4,,,7.0,,,7.6,,,8.3,
62.0,,5.1,,,5.6,,,6.0,,,6.5,,,7.1,,,7.7,,,8.5,
62.5,,5.2,,,5.7,,,6.1,,,6.7,,,7.2,,,7.9,,,8.6,
63.0,,5.3,,,5.8,,,6.2,,,6.8,,,7.4,,,8.0,,,8.8,
63.5,,5.4,,,5.9,,,6.4,,,6.9,,,7.5,,,8.2,,,8.9,
64.0,,5.5,,,6.0,,,6.5,,,7.0,,,7.6,,,8.3,,,9.1,
64.5,,5.6,,,6.1,,,6.6,,,7.1,,,7.8,,,8.5,,,9.3,
65.0,,5.7,,,6.2,,,6.7,,,7.3,,,7.9,,,8.6,,,9.4,
65.5,,5.8,,,6.3,,,6.8,,,7.4,,,8.0,,,8.7,,,9.6,
66.0,,5.9,,,6.4,,,6.9,,,7.5,,,8.2,,,8.9,,,9.7,
66.5,,6.0,,,6.5,,,7.0,,,7.6,,,8.3,,,9.0,,,9.9,
67.0,,6.1,,,6.6,,,7.1,,,7.7,,,8.4,,,9.2,,,10.0,
67.5,,6.2,,,6.7,,,7.2,,,7.9,,,8.5,,,9.3,,,10.2,
68.0,,6.3,,,6.8,,,7.3,,,8.0,,,8.7,,,9.4,,,10.3,
68.5,,6.4,,,6.9,,,7.5,,,8.1,,,8.8,,,9.6,,,10.5,
69.0,,6.5,,,7.0,,,7.6,,,8.2,,,8.9,,,9.7,,,10.6,
69.5,,6.6,,,7.1,,,7.7,,,8.3,,,9.0,,,9.8,,,10.8,
70.0,,6.6,,,7.2,,,7.8,,,8.4,,,9.2,,,10.0,,,10.9,
70.5,,6.7,,,7.3,,,7.9,,,8.5,,,9.3,,,10.1,,,11.1,
71.0,,6.8,,,7.4,,,8.0,,,8.6,,,9.4,,,10.2,,,11.2,
