Tinggi Badan (cm),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
72.5,,7.2,,,7.8,,,8.4,,,9.1,,,9.9,,,10.8,,,11.8,
73.0,,7.3,,,7.9,,,8.5,,,9.2,,,10.0,,,11.0,,,12.0,
73.5,,7.4,,,7.9,,,8.6,,,9.3,,,10.2,,,11.1,,,12.1,
74.0,,7.4,,,8.0,,,8.7,,,9.4,,,10.3,,,11.2,,,12.2,
74.5,,7.5,,,8.1,,,8.8,,,9.5,,,10.4,,,11.3,,,12.4,
75.0,,7.6,,,8.2,,,8.9,,,9.6,,,10.5,,,11.4,,,12.5,
75.5,,7.7,,,8.3,,,9.0,,,9.7,,,10.6,,,11.6,,,12.6,
76.0,,7.7,,,8.4,,,9.1,,,9.8,,,10.7,,,11.7,,,12.8,
76.5,,7.8,,,8.5,,,9.2,,,9.9,,,10.8,,,11.8,,,12.9,
77.0,,7.9,,,8.5,,,9.2,,,10.0,,,10.9,,,11.9,,,13.0,
77.5,,8.0,,,8.6,,,9.3,,,10.1,,,11.0,,,12.0,,,13.1,
78.0,,8.0,,,8.7,,,9.4,,,10.2,,,11.1,,,12.1,,,13.3,
78.5,,8.1,,,8.8,,,9.5,,,10.3,,,11.2,,,12.2,,,13.4,
79.0,,8.2,,,8.8,,,9.6,,,10.4,,,11.3,,,12.3,,,13.5,
79.5,,8.3,,,8.9,,,9.7,,,10.5,,,11.4,,,12.4,,,13.6,
80.0,,8.3,,,9.0,,,9.7,,,10.6,,,11.5,,,12.6,,,13.7,
80.5,,8.4,,,9.1,,,9.8,,,10.7,,,11.6,,,12.7,,,13.8,
81.0,,8.5,,,9.2,,,9.9,,,10.8,,,11.7,,,12.8,,,14.0,
81.5,,8.6,,,9.3,,,10.0,,,10.9,,,11.8,,,12.9,,,14.1,
82.0,,8.7,,,9.3,,,10.1,,,11.0,,,11.9,,,13.0,,,14.2,
82.5,,8.7,,,9.4,,,10.2,,,11.1,,,12.1,,,13.1,,,14.4,
83.0,,8.8,,,9.5,,,10.3,,,11.2,,,12.2,,,13.3,,,14.5,
83.5,,8.9,,,9.6,,,10.4,,,11.3,,,12.3,,,13.4,,,14.6,
84.0,,9.0,,,9.7,,,10.5,,,11.4,,,12.4,,,13.5,,,14.8,
84.5,,9.1,,,9.9,,,10.7,,,11.5,,,12.5,,,13.7,,,14.9,
85.0,,9.2,,,10.0,,,10.8,,,11.7,,,12.7,,,13.8,,,15.1,
85.5,,9.3,,,10.1,,,10.9,,,11.8,,,12.8,,,13.9,,,15.2,
86.0,,9.4,,,10.2,,,11.0,,,11.9,,,12.9,,,14.1,,,15.4,
86.5,,9.5,,,10.3,,,11.1,,,12.0,,,13.1,,,14.2,,,15.5,
87.0,,9.6,,,10.4,,,11.2,,,12.2,,,13.2,,,14.4,,,15.7,
87.5,,9.7,,,10.5,,,11.3,,,12.3,,,13.3,,,14.5,,,15.8,
88.0,,9.8,,,10.6,,,11.5,,,12.4,,,13.5,,,14.7,,,16.0,
88.5,,9.9,,,10.7,,,11.6,,,12.5,,,13.6,,,14.8,,,16.1,
