Umur (bulan),Indeks Massa Tubuh (IMT),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
24 *,,12.4,,,13.3,,,14.4,,,15.7,,,17.1,,,18.7,,,20.6,
25,,12.4,,,13.3,,,14.4,,,15.7,,,17.1,,,18.7,,,20.6,
26,,12.3,,,13.3,,,14.4,,,15.6,,,17.0,,,18.7,,,20.6,
27,,12.3,,,13.3,,,14.4,,,15.6,,,17.0,,,18.6,,,20.5,
28,,12.3,,,13.3,,,14.3,,,15.6,,,17.0,,,18.6,,,20.5,
29,,12.3,,,13.2,,,14.3,,,15.6,,,17.0,,,18.6,,,20.4,
30,,12.3,,,13.2,,,14.3,,,15.5,,,16.9,,,18.5,,,20.4,
31,,12.2,,,13.2,,,14.3,,,15.5,,,16.9,,,18.5,,,20.4,
32,,12.2,,,13.2,,,14.3,,,15.5,,,16.9,,,18.5,,,20.4,
33,,12.2,,,13.1,,,14.2,,,15.5,,,16.9,,,18.5,,,20.3,
34,,12.2,,,13.1,,,14.2,,,15.4,,,16.8,,,18.5,,,20.3,
35,,12.1,,,13.1,,,14.2,,,15.4,,,16.8,,,18.4,,,20.3,
36,,12.1,,,13.1,,,14.2,,,15.4,,,16.8,,,18.4,,,20.3,
37,,12.1,,,13.1,,,14.1,,,15.4,,,16.8,,,18.4,,,20.3,
38,,12.1,,,13.0,,,14.1,,,15.4,,,16.8,,,18.4,,,20.3,
39,,12.0,,,13.0,,,14.1,,,15.3,,,16.8,,,18.4,,,20.3,
40,,12.0,,,13.0,,,14.1,,,15.3,,,16.8,,,18.4,,,20.3,
41,,12.0,,,13.0,,,14.1,,,15.3,,,16.8,,,18.4,,,20.4,
42,,12.0,,,12.9,,,14.0,,,15.3,,,16.8,,,18.4,,,20.4,
43,,11.9,,,12.9,,,14.0,,,15.3,,,16.8,,,18.4,,,20.4,
