Umur (bulan),Tinggi Badan (cm),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
44,,87.9,,,92.0,,,96.2,,,100.3,,,104.5,,,108.6,,,112.7,
45,,88.4,,,92.5,,,96.7,,,100.9,,,105.1,,,109.3,,,113.5,
46,,88.9,,,93.1,,,97.3,,,101.5,,,105.8,,,110.0,,,114.2,
47,,89.3,,,93.6,,,97.9,,,102.1,,,106.4,,,110.7,,,114.9,
48,,89.8,,,94.1,,,98.4,,,102.7,,,107.0,,,111.3,,,115.7,
49,,90.3,,,94.6,,,99.0,,,103.3,,,107.7,,,112.0,,,116.4,
50,,90.7,,,95.1,,,99.5,,,103.9,,,108.3,,,112.7,,,117.1,
51,,91.2,,,95.6,,,100.1,,,104.5,,,108.9,,,113.3,,,117.7,
52,,91.7,,,96.1,,,100.6,,,105.0,,,109.5,,,114.0,,,118.4,
53,,92.1,,,96.6,,,101.1,,,105.6,,,110.1,,,114.6,,,119.1,
54,,92.6,,,97.1,,,101.6,,,106.2,,,110.7,,,115.2,,,119.8,
55,,93.0,,,97.6,,,102.2,,,106.7,,,111.3,,,115.9,,,120.4,
56,,93.4,,,98.1,,,102.7,,,107.3,,,111.9,,,116.5,,,121.1,
57,,93.9,,,98.5,,,103.2,,,107.8,,,112.5,,,117.1,,,121.8,
58,,94.3,,,99.0,,,103.7,,,108.4,,,113.0,,,117.7,,,122.4,
59,,94.7,,,99.5,,,104.2,,,108.9,,,113.6,,,118.3,,,123.1,
60,,95.2,,,99.9,,,104.7,,,109.4,,,114.2,,,118.9,,,123.7,
