Umur (bulan),Indeks Massa Tubuh (IMT),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
0,,10.2,,,11.1,,,12.2,,,13.4,,,14.8,,,16.3,,,18.1,
1,,11.3,,,12.4,,,13.6,,,14.9,,,16.3,,,17.8,,,19.4,
2,,12.5,,,13.7,,,15.0,,,16.3,,,17.8,,,19.4,,,21.1,
3,,13.1,,,14.3,,,15.5,,,16.9,,,18.4,,,20.0,,,21.8,
4,,13.4,,,14.5,,,15.8,,,17.2,,,18.7,,,20.3,,,22.1,
5,,13.5,,,14.7,,,15.9,,,17.3,,,18.8,,,20.5,,,22.3,
6,,13.6,,,14.7,,,16.0,,,17.3,,,18.8,,,20.5,,,22.3,
7,,13.7,,,14.8,,,16.0,,,17.3,,,18.8,,,20.5,,,22.3,
8,,13.6,,,14.7,,,15.9,,,17.3,,,18.7,,,20.4,,,22.2,
9,,13.6,,,14.7,,,15.8,,,17.2,,,18.6,,,20.3,,,22.1,
10,,13.5,,,14.6,,,15.7,,,17.0,,,18.5,,,20.1,,,22.0,
11,,13.4,,,14.5,,,15.6,,,16.9,,,18.4,,,20.0,,,21.8,
12,,13.4,,,14.4,,,15.5,,,16.8,,,18.2,,,19.8,,,21.6,
13,,13.3,,,14.3,,,15.4,,,16.7,,,18.1,,,19.7,,,21.5,
14,,13.2,,,14.2,,,15.3,,,16.6,,,18.0,,,19.5,,,21.3,
15,,13.1,,,14.1,,,15.2,,,16.4,,,17.8,,,19.4,,,21.2,
16,,13.1,,,14.0,,,15.1,,,16.3,,,17.7,,,19.3,,,21.0,
17,,13.0,,,13.9,,,15.0,,,16.2,,,17.6,,,19.1,,,20.9,
18,,12.9,,,13.9,,,14.9,,,16.1,,,17.5,,,19.0,,,20.8,
19,,12.9,,,13.8,,,14.9,,,16.1,,,17.4,,,18.9,,,20.7,
20,,12.8,,,13.7,,,14.8,,,16.0,,,17.3,,,18.8,,,20.6,
21,,12.8,,,13.7,,,14.7,,,15.9,,,17.2,,,18.7,,,20.5,
22,,12.7,,,13.6,,,14.7,,,15.8,,,17.2,,,18.7,,,20.4,
23,,12.7,,,13.6,,,14.6,,,15.8,,,17.1,,,18.6,,,20.3,
24 *,,12.7,,,13.6,,,14.6,,,15.7,,,17.0,,,18.5,,,20.3,
