Panjang Badan (cm),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
99.0,,11.4,,,12.4,,,13.5,,,14.8,,,16.2,,,17.8,,,19.6,
99.5,,11.5,,,12.5,,,13.6,,,14.9,,,16.3,,,18.0,,,19.8,
100.0,,11.6,,,12.6,,,13.7,,,15.0,,,16.5,,,18.1,,,20.0,
100.5,,11.7,,,12.7,,,13.9,,,15.2,,,16.6,,,18.3,,,20.2,
101.0,,11.8,,,12.8,,,14.0,,,15.3,,,16.8,,,18.5,,,20.4,
101.5,,11.9,,,13.0,,,14.1,,,15.5,,,17.0,,,18.7,,,20.6,
102.0,,12.0,,,13.1,,,14.3,,,15.6,,,17.1,,,18.9,,,20.8,
102.5,,12.1,,,13.2,,,14.4,,,15.8,,,17.3,,,19.0,,,21.0,
103.0,,12.3,,,13.3,,,14.5,,,15.9,,,17.5,,,19.2,,,21.3,
103.5,,12.4,,,13.5,,,14.7,,,16.1,,,17.6,,,19.4,,,21.5,
104.0,,12.5,,,13.6,,,14.8,,,16.2,,,17.8,,,19.6,,,21.7,
104.5,,12.6,,,13.7,,,15.0,,,16.4,,,18.0,,,19.8,,,21.9,
105.0,,12.7,,,13.8,,,15.1,,,16.5,,,18.2,,,20.0,,,22.2,
105.5,,12.8,,,14.0,,,15.3,,,16.7,,,18.4,,,20.2,,,22.4,
106.0,,13.0,,,14.1,,,15.4,,,16.9,,,18.5,,,20.5,,,22.6,
106.5,,13.1,,,14.3,,,15.6,,,17.1,,,18.7,,,20.7,,,22.9,
107.0,,13.2,,,14.4,,,15.7,,,17.2,,,18.9,,,20.9,,,23.1,
107.5,,13.3,,,14.5,,,15.9,,,17.4,,,19.1,,,21.1,,,23.4,
108.0,,13.5,,,14.7,,,16.0,,,17.6,,,19.3,,,21.3,,,23.6,
108.5,,13.6,,,14.8,,,16.2,,,17.8,,,19.5,,,21.6,,,23.9,
109.0,,13.7,,,15.0,,,16.4,,,18.0,,,19.7,,,21.8,,,24.2,
109.5,,13.9,,,15.1,,,16.5,,,18.1,,,20.0,,,22.0,,,24.4,
110.0,,14.0,,,15.3,,,16.7,,,18.3,,,20.2,,,22.3,,,24.7,
