Panjang Badan (cm),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
66.0,,5.6,,,6.1,,,6.7,,,7.3,,,8.0,,,8.8,,,9.8,
66.5,,5.7,,,6.2,,,6.8,,,7.4,,,8.1,,,9.0,,,9.9,
67.0,,5.8,,,6.3,,,6.9,,,7.5,,,8.3,,,9.1,,,10.0,
67.5,,5.9,,,6.4,,,7.0,,,7.6,,,8.4,,,9.2,,,10.2,
68.0,,6.0,,,6.5,,,7.1,,,7.7,,,8.5,,,9.4,,,10.3,
68.5,,6.1,,,6.6,,,7.2,,,7.9,,,8.6,,,9.5,,,10.5,
69.0,,6.1,,,6.7,,,7.3,,,8.0,,,8.7,,,9.6,,,10.6,
69.5,,6.2,,,6.8,,,7.4,,,8.1,,,8.8,,,9.7,,,10.7,
70.0,,6.3,,,6.9,,,7.5,,,8.2,,,9.0,,,9.9,,,10.9,
70.5,,6.4,,,6.9,,,7.6,,,8.3,,,9.1,,,10.0,,,11.0,
71.0,,6.5,,,7.0,,,7.7,,,8.4,,,9.2,,,10.1,,,11.1,
71.5,,6.5,,,7.1,,,7.7,,,8.5,,,9.3,,,10.2,,,11.3,
72.0,,6.6,,,7.2,,,7.8,,,8.6,,,9.4,,,10.3,,,11.4,
72.5,,6.7,,,7.3,,,7.9,,,8.7,,,9.5,,,10.5,,,11.5,
73.0,,6.8,,,7.4,,,8.0,,,8.8,,,9.6,,,10.6,,,11.7,
73.5,,6.9,,,7.4,,,8.1,,,8.9,,,9.7,,,10.7,,,11.8,
74.0,,6.9,,,7.5,,,8.2,,,9.0,,,9.8,,,10.8,,,11.9,
74.5,,7.0,,,7.6,,,8.3,,,9.1,,,9.9,,,10.9,,,12.0,
75.0,,7.1,,,7.7,,,8.4,,,9.1,,,10.0,,,11.0,,,12.2,
75.5,,7.1,,,7.8,,,8.5,,,9.2,,,10.1,,,11.1,,,12.3,
76.0,,7.2,,,7.8,,,8.5,,,9.3,,,10.2,,,11.2,,,12.4,
76.5,,7.3,,,7.9,,,8.6,,,9.4,,,10.3,,,11.4,,,12.5,
77.0,,7.4,,,8.0,,,8.7,,,9.5,,,10.4,,,11.5,,,12.6,
77.5,,7.4,,,8.1,,,8.8,,,9.6,,,10.5,,,11.6,,,12.8,
78.0,,7.5,,,8.2,,,8.9,,,9.7,,,10.6,,,11.7,,,12.9,
78.5,,7.6,,,8.2,,,9.0,,,9.8,,,10.7,,,11.8,,,13.0,
79.0,,7.7,,,8.3,,,9.1,,,9.9,,,10.8,,,11.9,,,13.1,
79.5,,7.7,,,8.4,,,9.1,,,10.0,,,10.9,,,12.0,,,13.3,
80.0,,7.8,,,8.5,,,9.2,,,10.1,,,11.0,,,12.1,,,13.4,
80.5,,7.9,,,8.6,,,9.3,,,10.2,,,11.2,,,12.3,,,13.5,
81.0,,8.0,,,8.7,,,9.4,,,10.3,,,11.3,,,12.4,,,13.7,
81.5,,8.1,,,8.8,,,9.5,,,10.4,,,11.4,,,12.5,,,13.8,
82.0,,8.1,,,8.8,,,9.6,,,10.5,,,11.5,,,12.6,,,13.9,
