Panjang Badan (cm),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
82.5,,8.2,,,8.9,,,9.7,,,10.6,,,11.6,,,12.8,,,14.1,
83.0,,8.3,,,9.0,,,9.8,,,10.7,,,11.8,,,12.9,,,14.2,
83.5,,8.4,,,9.1,,,9.9,,,10.9,,,11.9,,,13.1,,,14.4,
84.0,,8.5,,,9.2,,,10.1,,,11.0,,,12.0,,,13.2,,,14.5,
84.5,,8.6,,,9.3,,,10.2,,,11.1,,,12.1,,,13.3,,,14.7,
85.0,,8.7,,,9.4,,,10.3,,,11.2,,,12.3,,,13.5,,,14.9,
85.5,,8.8,,,9.5,,,10.4,,,11.3,,,12.4,,,13.6,,,15.0,
86.0,,8.9,,,9.7,,,10.5,,,11.5,,,12.6,,,13.8,,,15.2,
86.5,,9.0,,,9.8,,,10.6,,,11.6,,,12.7,,,13.9,,,15.4,
87.0,,9.1,,,9.9,,,10.7,,,11.7,,,12.8,,,14.1,,,15.5,
87.5,,9.2,,,10.0,,,10.9,,,11.8,,,13.0,,,14.2,,,15.7,
88.0,,9.3,,,10.1,,,11.0,,,12.0,,,13.1,,,14.4,,,15.9,
88.5,,9.4,,,10.2,,,11.1,,,12.1,,,13.2,,,14.5,,,16.0,
89.0,,9.5,,,10.3,,,11.2,,,12.2,,,13.4,,,14.7,,,16.2,
89.5,,9.6,,,10.4,,,11.3,,,12.3,,,13.5,,,14.8,,,16.4,
90.0,,9.7,,,10.5,,,11.4,,,12.5,,,13.7,,,15.0,,,16.5,
90.5,,9.8,,,10.6,,,11.5,,,12.6,,,13.8,,,15.1,,,16.7,
91.0,,9.9,,,10.7,,,11.7,,,12.7,,,13.9,,,15.3,,,16.9,
91.5,,10.0,,,10.8,,,11.8,,,12.8,,,14.1,,,15.5,,,17.0,
92.0,,10.1,,,10.9,,,11.9,,,13.0,,,14.2,,,15.6,,,17.2,
92.5,,10.1,,,11.0,,,12.0,,,13.1,,,14.3,,,15.8,,,17.4,
93.0,,10.2,,,11.1,,,12.1,,,13.2,,,14.5,,,15.9,,,17.5,
93.5,,10.3,,,11.2,,,12.2,,,13.3,,,14.6,,,16.1,,,17.7,
94.0,,10.4,,,11.3,,,12.3,,,13.5,,,14.7,,,16.2,,,17.9,
94.5,,10.5,,,11.4,,,12.4,,,13.6,,,14.9,,,16.4,,,18.0,
95.0,,10.6,,,11.5,,,12.6,,,13.7,,,15.0,,,16.5,,,18.2,
95.5,,10.7,,,11.6,,,12.7,,,13.8,,,15.2,,,16.7,,,18.4,
96.0,,10.8,,,11.7,,,12.8,,,14.0,,,15.3,,,16.8,,,18.6,
96.5,,10.9,,,11.8,,,12.9,,,14.1,,,15.4,,,17.0,,,18.7,
97.0,,11.0,,,12.0,,,13.0,,,14.2,,,15.6,,,17.1,,,18.9,
97.5,,11.1,,,12.1,,,13.1,,,14.4,,,15.7,,,17.3,,,19.1,
98.0,,11.2,,,12.2,,,13.3,,,14.5,,,15.9,,,17.5,,,19.3,
98.5,,11.3,,,12.3,,,13.4,,,14.6,,,16.0,,,17.6,,,19.5,
