Umur,Column_1,Indeks Massa Tubuh (IMT),Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
Tahun,Bulan,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
5,9,,12.1,,,13.0,,,14.1,,,15.3,,,16.7,,,18.4,,,20.5,
5,10,,12.1,,,13.0,,,14.1,,,15.3,,,16.7,,,18.5,,,20.6,
5,11,,12.1,,,13.0,,,14.1,,,15.3,,,16.7,,,18.5,,,20.6,
6,0,,12.1,,,13.0,,,14.1,,,15.3,,,16.8,,,18.5,,,20.7,
6,1,,12.1,,,13.0,,,14.1,,,15.3,,,16.8,,,18.6,,,20.8,
6,2,,12.2,,,13.1,,,14.1,,,15.3,,,16.8,,,18.6,,,20.8,
6,3,,12.2,,,13.1,,,14.1,,,15.3,,,16.8,,,18.6,,,20.9,
6,4,,12.2,,,13.1,,,14.1,,,15.4,,,16.8,,,18.7,,,21.0,
6,5,,12.2,,,13.1,,,14.1,,,15.4,,,16.9,,,18.7,,,21.0,
6,6,,12.2,,,13.1,,,14.1,,,15.4,,,16.9,,,18.7,,,21.1,
6,7,,12.2,,,13.1,,,14.1,,,15.4,,,16.9,,,18.8,,,21.2,
6,8,,12.2,,,13.1,,,14.2,,,15.4,,,16.9,,,18.8,,,21.3,
6,9,,12.2,,,13.1,,,14.2,,,15.4,,,17.0,,,18.9,,,21.3,
6,10,,12.2,,,13.1,,,14.2,,,15.4,,,17.0,,,18.9,,,21.4,
6,11,,12.2,,,13.1,,,14.2,,,15.5,,,17.0,,,19.0,,,21.5,
7,0,,12.3,,,13.1,,,14.2,,,15.5,,,17.0,,,19.0,,,21.6,
7,1,,12.3,,,13.2,,,14.2,,,15.5,,,17.1,,,19.1,,,21.7,
7,2,,12.3,,,13.2,,,14.2,,,15.5,,,17.1,,,19.1,,,21.8,
7,3,,12.3,,,13.2,,,14.3,,,15.5,,,17.1,,,19.2,,,21.9,
7,4,,12.3,,,13.2,,,14.3,,,15.6,,,17.2,,,19.2,,,22.0,
7,5,,12.3,,,13.2,,,14.3,,,15.6,,,17.2,,,19.3,,,22.0,
7,6,,12.3,,,13.2,,,14.3,,,15.6,,,17.2,,,19.3,,,22.1,
7,7,,12.3,,,13.2,,,14.3,,,15.6,,,17.3,,,19.4,,,22.2,
7,8,,12.3,,,13.2,,,14.3,,,15.6,,,17.3,,,19.4,,,22.4,
7,9,,12.4,,,13.3,,,14.3,,,15.7,,,17.3,,,19.5,,,22.5,
7,10,,12.4,,,13.3,,,14.4,,,15.7,,,17.4,,,19.6,,,22.6,
7,11,,12.4,,,13.3,,,14.4,,,15.7,,,17.4,,,19.6,,,22.7,
8,0,,12.4,,,13.3,,,14.4,,,15.7,,,17.4,,,19.7,,,22.8,
8,1,,12.4,,,13.3,,,14.4,,,15.8,,,17.5,,,19.7,,,22.9,
8,2,,12.4,,,13.3,,,14.4,,,15.8,,,17.5,,,19.8,,,23.0,
8,3,,12.4,,,13.3,,,14.4,,,15.8,,,17.5,,,19.9,,,23.1,
8,4,,12.4,,,13.4,,,14.5,,,15.8,,,17.6,,,19.9,,,23.3,
8,5,,12.5,,,13.4,,,14.5,,,15.9,,,17.6,,,20.0,,,23.4,
