Umur,Column_1,Indeks Massa Tubuh (IMT),Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
Tahun,Bulan,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
10,5,,12.5,,,13.6,,,15.0,,,16.9,,,19.4,,,23.0,,,29.1,
10,6,,12.5,,,13.7,,,15.1,,,16.9,,,19.4,,,23.1,,,29.3,
10,7,,12.6,,,13.7,,,15.1,,,17.0,,,19.5,,,23.2,,,29.4,
10,8,,12.6,,,13.7,,,15.2,,,17.0,,,19.6,,,23.3,,,29.6,
10,9,,12.6,,,13.8,,,15.2,,,17.1,,,19.6,,,23.4,,,29.7,
10,10,,12.7,,,13.8,,,15.3,,,17.1,,,19.7,,,23.5,,,29.9,
10,11,,12.7,,,13.8,,,15.3,,,17.2,,,19.8,,,23.6,,,30.0,
11,0,,12.7,,,13.9,,,15.3,,,17.2,,,19.9,,,23.7,,,30.2,
11,1,,12.8,,,13.9,,,15.4,,,17.3,,,19.9,,,23.8,,,30.3,
11,2,,12.8,,,14.0,,,15.4,,,17.4,,,20.0,,,23.9,,,30.5,
11,3,,12.8,,,14.0,,,15.5,,,17.4,,,20.1,,,24.0,,,30.6,
11,4,,12.9,,,14.0,,,15.5,,,17.5,,,20.2,,,24.1,,,30.8,
11,5,,12.9,,,14.1,,,15.6,,,17.5,,,20.2,,,24.2,,,30.9,
11,6,,12.9,,,14.1,,,15.6,,,17.6,,,20.3,,,24.3,,,31.1,
11,7,,13.0,,,14.2,,,15.7,,,17.7,,,20.4,,,24.4,,,31.2,
11,8,,13.0,,,14.2,,,15.7,,,17.7,,,20.5,,,24.5,,,31.4,
11,9,,13.0,,,14.3,,,15.8,,,17.8,,,20.6,,,24.7,,,31.5,
11,10,,13.1,,,14.3,,,15.8,,,17.9,,,20.6,,,24.8,,,31.6,
11,11,,13.1,,,14.3,,,15.9,,,17.9,,,20.7,,,24.9,,,31.8,
12,0,,13.2,,,14.4,,,16.0,,,18.0,,,20.8,,,25.0,,,31.9,
12,1,,13.2,,,14.4,,,16.0,,,18.1,,,20.9,,,25.1,,,32.0,
12,2,,13.2,,,14.5,,,16.1,,,18.1,,,21.0,,,25.2,,,32.2,
12,3,,13.3,,,14.5,,,16.1,,,18.2,,,21.1,,,25.3,,,32.3,
12,4,,13.3,,,14.6,,,16.2,,,18.3,,,21.1,,,25.4,,,32.4,
12,5,,13.3,,,14.6,,,16.2,,,18.3,,,21.2,,,25.5,,,32.6,
12,6,,13.4,,,14.7,,,16.3,,,18.4,,,21.3,,,25.6,,,32.7,
12,7,,13.4,,,14.7,,,16.3,,,18.5,,,21.4,,,25.7,,,32.8,
12,8,,13.5,,,14.8,,,16.4,,,18.5,,,21.5,,,25.8,,,33.0,
12,9,,13.5,,,14.8,,,16.4,,,18.6,,,21.6,,,25.9,,,33.1,
12,10,,13.5,,,14.8,,,16.5,,,18.7,,,21.6,,,26.0,,,33.2,
12,11,,13.6,,,14.9,,,16.6,,,18.7,,,21.7,,,26.1,,,33.3,
13,0,,13.6,,,14.9,,,16.6,,,18.8,,,21.8,,,26.2,,,33.4,
13,1,,13.6,,,15.0,,,16.7,,,18.9,,,21.9,,,26.3,,,33.6,
