Umur,Column_1,Indeks Massa Tubuh (IMT),Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
Tahun,Bulan,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
8,6,,12.5,,,13.4,,,14.5,,,15.9,,,17.7,,,20.1,,,23.5,
8,7,,12.5,,,13.4,,,14.5,,,15.9,,,17.7,,,20.1,,,23.6,
8,8,,12.5,,,13.4,,,14.5,,,15.9,,,17.7,,,20.2,,,23.8,
8,9,,12.5,,,13.4,,,14.6,,,16.0,,,17.8,,,20.3,,,23.9,
8,10,,12.5,,,13.5,,,14.6,,,16.0,,,17.8,,,20.3,,,24.0,
8,11,,12.5,,,13.5,,,14.6,,,16.0,,,17.9,,,20.4,,,24.2,
9,0,,12.6,,,13.5,,,14.6,,,16.0,,,17.9,,,20.5,,,24.3,
9,1,,12.6,,,13.5,,,14.6,,,16.1,,,18.0,,,20.5,,,24.4,
9,2,,12.6,,,13.5,,,14.7,,,16.1,,,18.0,,,20.6,,,24.6,
9,3,,12.6,,,13.5,,,14.7,,,16.1,,,18.0,,,20.7,,,24.7,
9,4,,12.6,,,13.6,,,14.7,,,16.2,,,18.1,,,20.8,,,24.9,
9,5,,12.6,,,13.6,,,14.7,,,16.2,,,18.1,,,20.8,,,25.0,
9,6,,12.7,,,13.6,,,14.8,,,16.2,,,18.2,,,20.9,,,25.1,
9,7,,12.7,,,13.6,,,14.8,,,16.3,,,18.2,,,21.0,,,25.3,
9,8,,12.7,,,13.6,,,14.8,,,16.3,,,18.3,,,21.1,,,25.5,
9,9,,12.7,,,13.7,,,14.8,,,16.3,,,18.3,,,21.2,,,25.6,
9,10,,12.7,,,13.7,,,14.9,,,16.4,,,18.4,,,21.2,,,25.8,
9,11,,12.8,,,13.7,,,14.9,,,16.4,,,18.4,,,21.3,,,25.9,
10,0,,12.8,,,13.7,,,14.9,,,16.4,,,18.5,,,21.4,,,26.1,
10,1,,12.8,,,13.8,,,15.0,,,16.5,,,18.5,,,21.5,,,26.2,
10,2,,12.8,,,13.8,,,15.0,,,16.5,,,18.6,,,21.6,,,26.4,
10,3,,12.8,,,13.8,,,15.0,,,16.6,,,18.6,,,21.7,,,26.6,
10,4,,12.9,,,13.8,,,15.0,,,16.6,,,18.7,,,21.7,,,26.7,
10,5,,12.9,,,13.9,,,15.1,,,16.6,,,18.8,,,21.8,,,26.9,
10,6,,12.9,,,13.9,,,15.1,,,16.7,,,18.8,,,21.9,,,27.0,
10,7,,12.9,,,13.9,,,15.1,,,16.7,,,18.9,,,22.0,,,27.2,
10,8,,13.0,,,13.9,,,15.2,,,16.8,,,18.9,,,22.1,,,27.4,
10,9,,13.0,,,14.0,,,15.2,,,16.8,,,19.0,,,22.2,,,27.5,
10,10,,13.0,,,14.0,,,15.2,,,16.9,,,19.0,,,22.3,,,27.7,
10,11,,13.0,,,14.0,,,15.3,,,16.9,,,19.1,,,22.4,,,27.9,
11,0,,13.1,,,14.1,,,15.3,,,16.9,,,19.2,,,22.5,,,28.0,
11,1,,13.1,,,14.1,,,15.3,,,17.0,,,19.2,,,22.5,,,28.2,
11,2,,13.1,,,14.1,,,15.4,,,17.0,,,19.3,,,22.6,,,28.4,
