Umur,Column_1,Indeks Massa Tubuh (IMT),Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
Tahun,Bulan,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
11,3,,13.1,,,14.1,,,15.4,,,17.1,,,19.3,,,22.7,,,28.5,
11,4,,13.2,,,14.2,,,15.5,,,17.1,,,19.4,,,22.8,,,28.7,
11,5,,13.2,,,14.2,,,15.5,,,17.2,,,19.5,,,22.9,,,28.8,
11,6,,13.2,,,14.2,,,15.5,,,17.2,,,19.5,,,23.0,,,29.0,
11,7,,13.2,,,14.3,,,15.6,,,17.3,,,19.6,,,23.1,,,29.2,
11,8,,13.3,,,14.3,,,15.6,,,17.3,,,19.7,,,23.2,,,29.3,
11,9,,13.3,,,14.3,,,15.7,,,17.4,,,19.7,,,23.3,,,29.5,
11,10,,13.3,,,14.4,,,15.7,,,17.4,,,19.8,,,23.4,,,29.6,
11,11,,13.4,,,14.4,,,15.7,,,17.5,,,19.9,,,23.5,,,29.8,
12,0,,13.4,,,14.5,,,15.8,,,17.5,,,19.9,,,23.6,,,30.0,
12,1,,13.4,,,14.5,,,15.8,,,17.6,,,20.0,,,23.7,,,30.1,
12,2,,13.5,,,14.5,,,15.9,,,17.6,,,20.1,,,23.8,,,30.3,
12,3,,13.5,,,14.6,,,15.9,,,17.7,,,20.2,,,23.9,,,30.4,
12,4,,13.5,,,14.6,,,16.0,,,17.8,,,20.2,,,24.0,,,30.6,
12,5,,13.6,,,14.6,,,16.0,,,17.8,,,20.3,,,24.1,,,30.7,
12,6,,13.6,,,14.7,,,16.1,,,17.9,,,20.4,,,24.2,,,30.9,
12,7,,13.6,,,14.7,,,16.1,,,17.9,,,20.4,,,24.3,,,31.0,
12,8,,13.7,,,14.8,,,16.2,,,18.0,,,20.5,,,24.4,,,31.1,
12,9,,13.7,,,14.8,,,16.2,,,18.0,,,20.6,,,24.5,,,31.3,
12,10,,13.7,,,14.8,,,16.3,,,18.1,,,20.7,,,24.6,,,31.4,
12,11,,13.8,,,14.9,,,16.3,,,18.2,,,20.8,,,24.7,,,31.6,
13,0,,13.8,,,14.9,,,16.4,,,18.2,,,20.8,,,24.8,,,31.7,
13,1,,13.8,,,15.0,,,16.4,,,18.3,,,20.9,,,24.9,,,31.8,
13,2,,13.9,,,15.0,,,16.5,,,18.4,,,21.0,,,25.0,,,31.9,
13,3,,13.9,,,15.1,,,16.5,,,18.4,,,21.1,,,25.1,,,32.1,
13,4,,14.0,,,15.1,,,16.6,,,18.5,,,21.1,,,25.2,,,32.2,
13,5,,14.0,,,15.2,,,16.6,,,18.6,,,21.2,,,25.2,,,32.3,
13,6,,14.0,,,15.2,,,16.7,,,18.6,,,21.3,,,25.3,,,32.4,
13,7,,14.1,,,15.2,,,16.7,,,18.7,,,21.4,,,25.4,,,32.6,
13,8,,14.1,,,15.3,,,16.8,,,18.7,,,21.5,,,25.5,,,32.7,
13,9,,14.1,,,15.3,,,16.8,,,18.8,,,21.5,,,25.6,,,32.8,
13,10,,14.2,,,15.4,,,16.9,,,18.9,,,21.6,,,25.7,,,32.9,
13,11,,14.2,,,15.4,,,17.0,,,18.9,,,21.7,,,25.8,,,33.0,
