Umur,Column_1,Indeks Massa Tubuh (IMT),Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
Tahun,Bulan,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
7,8,,11.8,,,12.8,,,14.0,,,15.6,,,17.6,,,20.3,,,24.2,
7,9,,11.8,,,12.8,,,14.1,,,15.6,,,17.6,,,20.3,,,24.4,
7,10,,11.9,,,12.9,,,14.1,,,15.6,,,17.6,,,20.4,,,24.5,
7,11,,11.9,,,12.9,,,14.1,,,15.7,,,17.7,,,20.5,,,24.6,
8,0,,11.9,,,12.9,,,14.1,,,15.7,,,17.7,,,20.6,,,24.8,
8,1,,11.9,,,12.9,,,14.1,,,15.7,,,17.8,,,20.6,,,24.9,
8,2,,11.9,,,12.9,,,14.2,,,15.7,,,17.8,,,20.7,,,25.1,
8,3,,11.9,,,12.9,,,14.2,,,15.8,,,17.9,,,20.8,,,25.2,
8,4,,11.9,,,13.0,,,14.2,,,15.8,,,17.9,,,20.9,,,25.3,
8,5,,12.0,,,13.0,,,14.2,,,15.8,,,18.0,,,20.9,,,25.5,
8,6,,12.0,,,13.0,,,14.3,,,15.9,,,18.0,,,21.0,,,25.6,
8,7,,12.0,,,13.0,,,14.3,,,15.9,,,18.1,,,21.1,,,25.8,
8,8,,12.0,,,13.0,,,14.3,,,15.9,,,18.1,,,21.2,,,25.9,
8,9,,12.0,,,13.1,,,14.3,,,16.0,,,18.2,,,21.3,,,26.1,
8,10,,12.1,,,13.1,,,14.4,,,16.0,,,18.2,,,21.3,,,26.2,
8,11,,12.1,,,13.1,,,14.4,,,16.1,,,18.3,,,21.4,,,26.4,
9,0,,12.1,,,13.1,,,14.4,,,16.1,,,18.3,,,21.5,,,26.5,
9,1,,12.1,,,13.2,,,14.5,,,16.1,,,18.4,,,21.6,,,26.7,
9,2,,12.1,,,13.2,,,14.5,,,16.2,,,18.4,,,21.7,,,26.8,
9,3,,12.2,,,13.2,,,14.5,,,16.2,,,18.5,,,21.8,,,27.0,
9,4,,12.2,,,13.2,,,14.6,,,16.3,,,18.6,,,21.9,,,27.2,
9,5,,12.2,,,13.3,,,14.6,,,16.3,,,18.6,,,21.9,,,27.3,
9,6,,12.2,,,13.3,,,14.6,,,16.3,,,18.7,,,22.0,,,27.5,
9,7,,12.3,,,13.3,,,14.7,,,16.4,,,18.7,,,22.1,,,27.6,
9,8,,12.3,,,13.4,,,14.7,,,16.4,,,18.8,,,22.2,,,27.8,
9,9,,12.3,,,13.4,,,14.7,,,16.5,,,18.8,,,22.3,,,27.9,
9,10,,12.3,,,13.4,,,14.8,,,16.5,,,18.9,,,22.4,,,28.1,
9,11,,12.4,,,13.4,,,14.8,,,16.6,,,19.0,,,22.5,,,28.2,
10,0,,12.4,,,13.5,,,14.8,,,16.6,,,19.0,,,22.6,,,28.4,
10,1,,12.4,,,13.5,,,14.9,,,16.7,,,19.1,,,22.7,,,28.5,
10,2,,12.4,,,13.5,,,14.9,,,16.7,,,19.2,,,22.8,,,28.7,
10,3,,12.5,,,13.6,,,15.0,,,16.8,,,19.2,,,22.8,,,28.8,
10,4,,12.5,,,13.6,,,15.0,,,16.8,,,19.3,,,22.9,,,29.0,
