Umur,Column_1,Indeks Massa Tubuh (IMT),Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
Tahun,Bulan,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
14,0,,14.3,,,15.5,,,17.0,,,19.0,,,21.8,,,25.9,,,33.1,
14,1,,14.3,,,15.5,,,17.1,,,19.1,,,21.8,,,26.0,,,33.2,
14,2,,14.3,,,15.6,,,17.1,,,19.1,,,21.9,,,26.1,,,33.3,
14,3,,14.4,,,15.6,,,17.2,,,19.2,,,22.0,,,26.2,,,33.4,
14,4,,14.4,,,15.7,,,17.2,,,19.3,,,22.1,,,26.3,,,33.5,
14,5,,14.5,,,15.7,,,17.3,,,19.3,,,22.2,,,26.4,,,33.5,
14,6,,14.5,,,15.7,,,17.3,,,19.4,,,22.2,,,26.5,,,33.6,
14,7,,14.5,,,15.8,,,17.4,,,19.5,,,22.3,,,26.5,,,33.7,
14,8,,14.6,,,15.8,,,17.4,,,19.5,,,22.4,,,26.6,,,33.8,
14,9,,14.6,,,15.9,,,17.5,,,19.6,,,22.5,,,26.7,,,33.9,
14,10,,14.6,,,15.9,,,17.5,,,19.6,,,22.5,,,26.8,,,33.9,
14,11,,14.7,,,16.0,,,17.6,,,19.7,,,22.6,,,26.9,,,34.0,
15,0,,14.7,,,16.0,,,17.6,,,19.8,,,22.7,,,27.0,,,34.1,
15,1,,14.7,,,16.1,,,17.7,,,19.8,,,22.8,,,27.1,,,34.1,
15,2,,14.8,,,16.1,,,17.8,,,19.9,,,22.8,,,27.1,,,34.2,
15,3,,14.8,,,16.1,,,17.8,,,20.0,,,22.9,,,27.2,,,34.3,
15,4,,14.8,,,16.2,,,17.9,,,20.0,,,23.0,,,27.3,,,34.3,
15,5,,14.9,,,16.2,,,17.9,,,20.1,,,23.0,,,27.4,,,34.4,
15,6,,14.9,,,16.3,,,18.0,,,20.1,,,23.1,,,27.4,,,34.5,
15,7,,15.0,,,16.3,,,18.0,,,20.2,,,23.2,,,27.5,,,34.5,
15,8,,15.0,,,16.3,,,18.1,,,20.3,,,23.3,,,27.6,,,34.6,
15,9,,15.0,,,16.4,,,18.1,,,20.3,,,23.3,,,27.7,,,34.6,
15,10,,15.0,,,16.4,,,18.2,,,20.4,,,23.4,,,27.7,,,34.7,
15,11,,15.1,,,16.5,,,18.2,,,20.4,,,23.5,,,27.8,,,34.7,
16,0,,15.1,,,16.5,,,18.2,,,20.5,,,23.5,,,27.9,,,34.8,
16,1,,15.1,,,16.5,,,18.3,,,20.6,,,23.6,,,27.9,,,34.8,
16,2,,15.2,,,16.6,,,18.3,,,20.6,,,23.7,,,28.0,,,34.8,
16,3,,15.2,,,16.6,,,18.4,,,20.7,,,23.7,,,28.1,,,34.9,
16,4,,15.2,,,16.7,,,18.4,,,20.7,,,23.8,,,28.1,,,34.9,
16,5,,15.3,,,16.7,,,18.5,,,20.8,,,23.8,,,28.2,,,35.0,
16,6,,15.3,,,16.7,,,18.5,,,20.8,,,23.9,,,28.3,,,35.0,
16,7,,15.3,,,16.8,,,18.6,,,20.9,,,24.0,,,28.3,,,35.0,
16,8,,15.3,,,16.8,,,18.6,,,20.9,,,24.0,,,28.4,,,35.1,
