Umur,Column_1,Indeks Massa Tubuh (IMT),Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
Tahun,Bulan,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
13,2,,13.7,,,15.0,,,16.7,,,18.9,,,22.0,,,26.4,,,33.7,
13,3,,13.7,,,15.1,,,16.8,,,19.0,,,22.0,,,26.5,,,33.8,
13,4,,13.8,,,15.1,,,16.8,,,19.1,,,22.1,,,26.6,,,33.9,
13,5,,13.8,,,15.2,,,16.9,,,19.1,,,22.2,,,26.7,,,34.0,
13,6,,13.8,,,15.2,,,16.9,,,19.2,,,22.3,,,26.8,,,34.1,
13,7,,13.9,,,15.2,,,17.0,,,19.3,,,22.4,,,26.9,,,34.2,
13,8,,13.9,,,15.3,,,17.0,,,19.3,,,22.4,,,27.0,,,34.3,
13,9,,13.9,,,15.3,,,17.1,,,19.4,,,22.5,,,27.1,,,34.4,
13,10,,14.0,,,15.4,,,17.1,,,19.4,,,22.6,,,27.1,,,34.5,
13,11,,14.0,,,15.4,,,17.2,,,19.5,,,22.7,,,27.2,,,34.6,
14,0,,14.0,,,15.4,,,17.2,,,19.6,,,22.7,,,27.3,,,34.7,
14,1,,14.1,,,15.5,,,17.3,,,19.6,,,22.8,,,27.4,,,34.7,
14,2,,14.1,,,15.5,,,17.3,,,19.7,,,22.9,,,27.5,,,34.8,
14,3,,14.1,,,15.6,,,17.4,,,19.7,,,22.9,,,27.6,,,34.9,
14,4,,14.1,,,15.6,,,17.4,,,19.8,,,23.0,,,27.7,,,35.0,
14,5,,14.2,,,15.6,,,17.5,,,19.9,,,23.1,,,27.7,,,35.1,
14,6,,14.2,,,15.7,,,17.5,,,19.9,,,23.1,,,27.8,,,35.1,
14,7,,14.2,,,15.7,,,17.6,,,20.0,,,23.2,,,27.9,,,35.2,
14,8,,14.3,,,15.7,,,17.6,,,20.0,,,23.3,,,28.0,,,35.3,
14,9,,14.3,,,15.8,,,17.6,,,20.1,,,23.3,,,28.0,,,35.4,
14,10,,14.3,,,15.8,,,17.7,,,20.1,,,23.4,,,28.1,,,35.4,
14,11,,14.3,,,15.8,,,17.7,,,20.2,,,23.5,,,28.2,,,35.5,
15,0,,14.4,,,15.9,,,17.8,,,20.2,,,23.5,,,28.2,,,35.5,
15,1,,14.4,,,15.9,,,17.8,,,20.3,,,23.6,,,28.3,,,35.6,
15,2,,14.4,,,15.9,,,17.8,,,20.3,,,23.6,,,28.4,,,35.7,
15,3,,14.4,,,16.0,,,17.9,,,20.4,,,23.7,,,28.4,,,35.7,
15,4,,14.5,,,16.0,,,17.9,,,20.4,,,23.7,,,28.5,,,35.8,
15,5,,14.5,,,16.0,,,17.9,,,20.4,,,23.8,,,28.5,,,35.8,
15,6,,14.5,,,16.0,,,18.0,,,20.5,,,23.8,,,28.6,,,35.8,
15,7,,14.5,,,16.1,,,18.0,,,20.5,,,23.9,,,28.6,,,35.9,
15,8,,14.5,,,16.1,,,18.0,,,20.6,,,23.9,,,28.7,,,35.9,
15,9,,14.5,,,16.1,,,18.1,,,20.6,,,24.0,,,28.7,,,36.0,
15,10,,14.6,,,16.1,,,18.1,,,20.6,,,24.0,,,28.8,,,36.0,
