Umur,Column_1,Indeks Massa Tubuh (IMT),Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
Tahun,Bulan,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
16,9,,15.4,,,16.8,,,18.7,,,21.0,,,24.1,,,28.5,,,35.1,
16,10,,15.4,,,16.9,,,18.7,,,21.0,,,24.2,,,28.5,,,35.1,
16,11,,15.4,,,16.9,,,18.7,,,21.1,,,24.2,,,28.6,,,35.2,
17,0,,15.4,,,16.9,,,18.8,,,21.1,,,24.3,,,28.6,,,35.2,
17,1,,15.5,,,17.0,,,18.8,,,21.2,,,24.3,,,28.7,,,35.2,
17,2,,15.5,,,17.0,,,18.9,,,21.2,,,24.4,,,28.7,,,35.2,
17,3,,15.5,,,17.0,,,18.9,,,21.3,,,24.4,,,28.8,,,35.3,
17,4,,15.5,,,17.1,,,18.9,,,21.3,,,24.5,,,28.9,,,35.3,
17,5,,15.6,,,17.1,,,19.0,,,21.4,,,24.5,,,28.9,,,35.3,
17,6,,15.6,,,17.1,,,19.0,,,21.4,,,24.6,,,29.0,,,35.3,
17,7,,15.6,,,17.1,,,19.1,,,21.5,,,24.7,,,29.0,,,35.4,
17,8,,15.6,,,17.2,,,19.1,,,21.5,,,24.7,,,29.1,,,35.4,
17,9,,15.6,,,17.2,,,19.1,,,21.6,,,24.8,,,29.1,,,35.4,
17,10,,15.7,,,17.2,,,19.2,,,21.6,,,24.8,,,29.2,,,35.4,
17,11,,15.7,,,17.3,,,19.2,,,21.7,,,24.9,,,29.2,,,35.4,
18,0,,15.7,,,17.3,,,19.2,,,21.7,,,24.9,,,29.2,,,35.4,
18,1,,15.7,,,17.3,,,19.3,,,21.8,,,25.0,,,29.3,,,35.4,
18,2,,15.7,,,17.3,,,19.3,,,21.8,,,25.0,,,29.3,,,35.5,
18,3,,15.7,,,17.4,,,19.3,,,21.8,,,25.1,,,29.4,,,35.5,
18,4,,15.8,,,17.4,,,19.4,,,21.9,,,25.1,,,29.4,,,35.5,
18,5,,15.8,,,17.4,,,19.4,,,21.9,,,25.1,,,29.5,,,35.5,
18,6,,15.8,,,17.4,,,19.4,,,22.0,,,25.2,,,29.5,,,35.5,
18,7,,15.8,,,17.5,,,19.5,,,22.0,,,25.2,,,29.5,,,35.5,
18,8,,15.8,,,17.5,,,19.5,,,22.0,,,25.3,,,29.6,,,35.5,
18,9,,15.8,,,17.5,,,19.5,,,22.1,,,25.3,,,29.6,,,35.5,
18,10,,15.8,,,17.5,,,19.6,,,22.1,,,25.4,,,29.6,,,35.5,
18,11,,15.8,,,17.5,,,19.6,,,22.2,,,25.4,,,29.7,,,35.5,
19,0,,15.9,,,17.6,,,19.6,,,22.2,,,25.4,,,29.7,,,35.5,
